Start Year,End Year,Number of Nodes,Number of Edges,Non-Zero Weighted Nodes,Non-Zero Edges,Average Degree,Balanced Triads,Unbalanced Triads
1972,1975,63,1953,50,384,7.68,272,0
1974,1977,73,2628,60,480,8.0,314,0
1976,1979,75,2775,64,468,7.3125,360,0
1978,1981,69,2346,59,406,6.88135593220339,268,0
1980,1983,78,3003,66,470,7.121212121212121,315,0
1982,1985,83,3403,67,520,7.7611940298507465,359,0
1984,1987,90,4005,70,552,7.885714285714286,371,0
1986,1989,93,4278,72,554,7.694444444444445,340,0
1988,1991,93,4278,69,534,7.739130434782608,342,0
1990,1993,92,4186,69,518,7.507246376811594,325,0
1992,1995,94,4371,72,584,8.11111111111111,383,0
1994,1997,94,4371,72,558,7.75,332,0
1996,1999,94,4371,72,576,8.0,392,0
1998,2001,95,4465,75,600,8.0,407,0
2000,2003,96,4560,79,558,7.063291139240507,330,0
2002,2005,96,4560,75,586,7.8133333333333335,337,0
2004,2007,96,4560,74,616,8.324324324324325,405,0
2006,2009,99,4851,76,650,8.552631578947368,392,0
2008,2011,100,4950,81,690,8.518518518518519,474,0
2010,2013,100,4950,78,714,9.153846153846153,479,0
2012,2015,100,4950,77,724,9.402597402597403,521,0
2014,2017,100,4950,75,778,10.373333333333333,599,0
2016,2019,100,4950,78,812,10.41025641025641,655,0
