,0
YEAR,43.43241174560376
NEWS,1.7660083110995677
HOMOSEX,1.1893361284808213
FEFAM,1.1196757786738494
FEPRESCH,1.0958148439099293
RACOPEN,0.8814486243683324
ATTEND,0.8180956065773546
FECHLD,0.8118754288505449
PREMARSX,0.6451062607936421
MARHOMO,0.5358012469240473
NATSPAC,0.4987847875468595
NATFARE,0.4885946464540905
CONPRESS,0.45555418770017164
CONLEGIS,0.43681318387444257
GRASS,0.42770224355091047
SPANKING,0.3995975144753565
COLHOMO,0.3671186769135021
WRKWAYUP,0.35869251388656487
CONFINAN,0.33539082259424313
CONTV,0.3233979965096191
AFFRMACT,0.3211819373566177
FEPOL,0.31862229378221585
HELPBLK,0.30485656356215796
RELITEN,0.3017541235610981
NATRACE,0.2844725446421341
CONMEDIC,0.27949586392357917
NATARMS,0.27767387001739197
CONARMY,0.276073202353738
LIBHOMO,0.2744658482378484
NATCITY,0.2727742924028298
PARTYID,0.2724302162154838
NATEDUC,0.2709985732983819
COLCOM,0.2614952011187555
SUICIDE1,0.25964932615514447
NATAID,0.25960296220417745
CONCLERG,0.2510853244293094
RACDIF4,0.250301512552331
SPKHOMO,0.24983894692984143
COLATH,0.24489473626888264
TRUST,0.2365694211340787
CONEDUC,0.23038342380849053
COLMIL,0.22754723856315046
TEENSEX,0.21861591695501748
CONFED,0.20580261802609
PRESLAST_DEMREP,0.2051211787871552
POLESCAP,0.19862143563328172
SPKMIL,0.1893029393029394
RACDIF2,0.1772036954600293
LIBMIL,0.17035356987510097
FAIR,0.16356374283485864
LIBATH,0.15814510780638757
HELPPOOR,0.15685352141005635
LIBCOM,0.1512449338424411
SPKATH,0.14969588727633054
HELPNOT,0.14218314917717528
EQWLTH,0.12798705613822214
SPKCOM,0.12666776221284537
ABANY,0.12515839727768252
POLATTAK,0.12095508489654949
LETDIE1,0.12003755721975784
NATROAD,0.11604184894950714
NATCRIME,0.11596212705343623
COURTS,0.11324814934867201
POLABUSE,0.11251702487423731
SEXEDUC,0.11082630154434014
DIVLAW,0.10567269532717653
NATSCI,0.10208739894061891
NATMASS,0.10003624949960957
CONBUS,0.09709362486634276
PRAYER,0.09081291148975346
POLVIEWS,0.08709088761207116
POLMURDR,0.08642664268559559
POLHITOK,0.08521643633109488
NATENRGY,0.08245886201462982
XMARSEX,0.0807111850980462
NATSOC,0.06985117087759202
CONJUDGE,0.06675658707319143
ABDEFECT,0.06584551318841947
SUICIDE2,0.061679424044716824
TVHOURS,0.057963689312695355
ABPOOR,0.057102785013023516
POSTLIFE,0.051147695750885735
PORNLAW,0.04683111776820814
GETAHEAD,0.046747246523689556
NATENVIR,0.04532312720975329
ABRAPE,0.044818466089952436
RACDIF1,0.04472848400340851
HELPFUL,0.04388144438239472
CONLABOR,0.04149615696012876
ABNOMORE,0.04126509310023668
CAPPUN,0.037855057705961204
NATPARK,0.03699234965081588
ABSINGLE,0.034320494574222205
GUNLAW,0.03150772732893359
SPKMSLM,0.030088171112634787
NATHEAL,0.02549389507551436
COLRAC,0.023757015955063798
NATCHLD,0.023274388000259716
COLMSLM,0.01860783070119304
VOTELAST,0.017987792614271303
PRESLAST_NONCONFORM,0.014953154929796174
LIBRAC,0.01223022744895319
SPKRAC,0.011931182232849835
RACDIF3,0.011879273652322553
ABHLTH,0.011379296127562166
LIBMSLM,0.005392151992709704
NATDRUG,0.0017421567749557054
CONSCI,0.0010794029586911336
