YEAR,
NEWS,
HOMOSEX,
FEFAM,
FEPRESCH,
RACOPEN,
ATTEND,morality
FECHLD,
PREMARSX,
MARHOMO,
NATSPAC,
NATFARE,spending
CONPRESS,confidence
CONLEGIS,confidence
GRASS,
SPANKING,
COLHOMO,speech
WRKWAYUP,
CONFINAN,confidence
CONTV,
AFFRMACT,race
FEPOL,
HELPBLK,
RELITEN,
NATRACE,race
CONMEDIC,
NATARMS,
CONARMY,confidence
LIBHOMO,speech
NATCITY,spending
PARTYID,
NATEDUC,spending
COLCOM,speech
SUICIDE1,morality
NATAID,spending
CONCLERG,
RACDIF4,race 
SPKHOMO,speech
COLATH,speech
TRUST,others
CONEDUC,confidence
COLMIL,speech
TEENSEX,
CONFED,
PRESLAST_DEMREP,
POLESCAP,police
SPKMIL,speech
RACDIF2,race
LIBMIL,speech
FAIR,
LIBATH,speech
HELPPOOR,spending
LIBCOM,speech
SPKATH,speech
HELPNOT,
EQWLTH,spending
SPKCOM,speech
ABANY,morality
POLATTAK,police
LETDIE1,morality
NATROAD,spending
NATCRIME,race
COURTS,
POLABUSE,police
SEXEDUC,
DIVLAW,
NATSCI,spending 
NATMASS,
CONBUS,confidence
PRAYER,morality
POLVIEWS,police
POLMURDR,police
POLHITOK,police
NATENRGY,spending 
XMARSEX,
NATSOC,spending
CONJUDGE,confidence
ABDEFECT,morality
SUICIDE2,morality 
TVHOURS,
ABPOOR,morality
POSTLIFE,morality
PORNLAW,
GETAHEAD,
NATENVIR,spending
ABRAPE,abortion
RACDIF1,race
HELPFUL,others
CONLABOR,confidence
ABNOMORE,abortion
CAPPUN,race
NATPARK,
ABSINGLE,morality
GUNLAW,
SPKMSLM,speech
NATHEAL,spending
COLRAC,speech
NATCHLD,spending
COLMSLM,speech
VOTELAST,
PRESLAST_NONCONFORM,
LIBRAC,speech
SPKRAC,speech
RACDIF3,race
ABHLTH,morality
LIBMSLM,speech
NATDRUG,spending
CONSCI,confidence
